ano,internacoes,codigo_municipio,municipio,obitos,taxa_mortalidade,populacao,fonte_populacao,internacoes_por_100k,obitos_por_100k
2022,537,130090,Canutama,2,0.37243947858473,16869,IBGE - Censo Demografico 2022,3183.3540814511825,11.856067342462506
2022,1557,130100,Carauari,35,2.2479126525369297,28742,IBGE - Censo Demografico 2022,5417.159557442071,121.77301509985388
2022,1791,130110,Careiro,35,1.954215522054718,30792,IBGE - Censo Demografico 2022,5816.445830085737,113.66588724343987
2022,318,130115,Careiro Da Varzea,20,6.289308176100629,19637,IBGE - Censo Demografico 2022,1619.3919641493098,101.84855120435911
2022,4501,130120,Coari,140,3.1104199066874028,70616,IBGE - Censo Demografico 2022,6373.909595559079,198.25535289452813
2022,1628,130130,Codajas,32,1.9656019656019657,23549,IBGE - Censo Demografico 2022,6913.244723767463,135.88687417724745
2022,833,130140,Eirunepe,32,3.8415366146458583,33170,IBGE - Censo Demografico 2022,2511.3053964425685,96.47271630991861
2022,919,130150,Envira,15,1.632208922742111,17186,IBGE - Censo Demografico 2022,5347.375770976376,87.28034446642616
2022,1294,130160,Fonte Boa,20,1.545595054095827,25871,IBGE - Censo Demografico 2022,5001.739399327433,77.30663677476711
2022,844,130165,Guajara,17,2.014218009478673,13815,IBGE - Censo Demografico 2022,6109.301483894318,123.05465074194716
2022,2884,130170,Humaita,86,2.9819694868238558,57473,IBGE - Censo Demografico 2022,5018.008456144625,149.63548100847356
2022,1785,130180,Ipixuna,16,0.8963585434173669,24311,IBGE - Censo Demografico 2022,7342.355312410021,65.81382913084612
2022,2253,130185,Iranduba,81,3.5952063914780292,61163,IBGE - Censo Demografico 2022,3683.5995618265943,132.4330068832464
2022,5760,130190,Itacoatiara,186,3.229166666666667,103598,IBGE - Censo Demografico 2022,5559.95289484353,179.54014556265565
2022,450,130195,Itamarati,3,0.6666666666666667,10937,IBGE - Censo Demografico 2022,4114.473804516778,27.429825363445183
2022,569,130200,Itapiranga,7,1.2302284710017575,10162,IBGE - Censo Demografico 2022,5599.291478055501,68.88407793741389
2022,375,130210,Japura,5,1.3333333333333335,8858,IBGE - Censo Demografico 2022,4233.461277940844,56.446150372544594
2022,240,130220,Jurua,4,1.6666666666666667,10742,IBGE - Censo Demografico 2022,2234.2208154905975,37.237013591509964
2022,1621,130230,Jutai,12,0.7402837754472548,25172,IBGE - Censo Demografico 2022,6439.694899094233,47.67201652629906
2022,2367,130240,Labrea,58,2.4503591043515,45448,IBGE - Censo Demografico 2022,5208.149973596198,127.61837704629467
2022,6785,130250,Manacapuru,182,2.682387619749447,101883,IBGE - Censo Demografico 2022,6659.5997369531715,178.63627886889864
2022,1048,130255,Manaquiri,17,1.6221374045801527,17107,IBGE - Censo Demografico 2022,6126.147191208278,99.37452504822588
2022,114869,130260,Manaus,5221,4.545177550078786,2063689,IBGE - Censo Demografico 2022,5566.197232237997,252.99354699278814
2022,2402,130270,Manicore,49,2.0399666944213157,53914,IBGE - Censo Demografico 2022,4455.243536001781,90.88548428979486
2022,516,130280,Maraa,2,0.3875968992248062,15529,IBGE - Censo Demografico 2022,3322.815377680469,12.879129370854532
